Station_ID,Station_Description,Direction,Location_Group,Latitude,Longitude,Installation_Date,Original_Metadata_ID,Total_Records,Valid_Observed,Blank_Missing,Zero_Invalid,Reconstructed_123
01-MI-AL-W,Karl-Marx-Allee,West,01-MI-AL,52.5219071605016,13.4175360202789,2021-12-16,01-MI-AL-W,43824,26487,17160,97,80
02-MI-JAN-N,Jannowitzbrücke Nord,North,02-MI-JAN,52.51393215939899,13.41783460946187,2015-04-01,02-MI-JAN-N,122735,93939,28472,101,223
02-MI-JAN-S,Jannowitzbrücke Süd,South,02-MI-JAN,52.5139429938464,13.417611074205,2015-04-01,02-MI-JAN-S,122735,92855,28870,782,228
03-MI-SAN-O,Invalidenstraße Ost,East,03-MI-SAN,52.5271768961928,13.3720158872605,2015-06-01,03-MI-SAN-O,122735,84116,29965,8345,309
03-MI-SAN-W,Invalidenstraße West,West,03-MI-SAN,52.5276860197938,13.3731048641205,2015-06-01,03-MI-SAN-W,122735,92067,29944,378,346
04-MI-NO,Nordufer,Not specified,04-MI-NO,52.513933,13.417864,2023-10-16,04-MI-NO,26304,13098,8904,4278,24
05-FK-OBB-O,Oberbaumbrücke Ost,East,05-FK-OBB,52.5011988679576,13.445060485363,2015-06-01,05-FK-OBB-O,122735,68478,42572,11553,132
05-FK-OBB-W,Oberbaumbrücke West,West,05-FK-OBB,52.5012756085914,13.444867366314,2015-06-01,05-FK-OBB-W,122735,66966,42596,13059,114
06-FK-FRA-O,Frankfurter Allee Ost,East,06-FK-FRA,52.513584,13.474242,2016-06-01,06-FK-FRA-O,122735,83367,38786,311,271
06-FK-FRA-W,Frankfurter Allee West,West,06-FK-FRA,52.51379,13.474414,2016-06-01,06-FK-FRA-W,122735,83103,38884,471,277
07-FK-ST,Strausberger Platz,Not specified,07-FK-ST,52.518941,13.426139,2024-04-22,07-FK-ST,17544,14764,2689,51,40
09-PA-SA-S,Schönhauser Allee,South,09-PA-SA,52.543044,13.412067,2024-04-22,09-PA-SA-S,17544,13806,2701,999,38
10-PA-BER-N,Berliner Straße Nord,North,10-PA-BER,52.56692362,13.41248937,2016-05-01,10-PA-BER-N,122735,84126,37984,396,229
10-PA-BER-S,Berliner Straße Süd,South,10-PA-BER,52.56681286,13.41216649,2016-05-01,10-PA-BER-S,122735,83697,37978,836,224
11-PA-SE-N,Senefelder Platz Nord,North,11-PA-SE,52.5313796245428,13.4123547323753,2022-10-06,11-PA-SE-N,35064,25844,8763,372,85
12-PA-SCH,Schwedter Steg,Not specified,12-PA-SCH,52.549071,13.4003668365479,2012-03-01,12-PA-SCH,122735,117013,1449,3914,359
13-CW-PRI,Prinzregentenstraße,Not specified,13-CW-PRI,52.488135580706334,13.33311990737359,2015-04-01,13-CW-PRI,122735,88580,28487,5445,223
14-CW-JU-O,Straße des 17. Juni Ost,East,14-CW-JU,52.51259,13.32663,2021-07-27,14-CW-JU-O,43824,29290,13731,720,83
14-CW-JU-W,Straße des 17. Juni West,West,14-CW-JU,52.5131325896952,13.3268451690673,2021-07-27,14-CW-JU-W,43824,29662,13731,336,95
15-SP-KLO-N,Klosterstraße Nord,North,15-SP-KLO,52.53351245116568,13.199052742313857,2016-06-01,15-SP-KLO-N,122735,81443,38735,2532,25
15-SP-KLO-S,Klosterstraße Süd,South,15-SP-KLO,52.53330769478785,13.198487973304143,2016-05-01,15-SP-KLO-S,122735,83132,37976,1593,34
16-SP-NO-O,Nonnendammallee Ost,East,16-SP-NO,52.537901,13.247914,2023-11-22,16-SP-NO-O,26304,16946,7814,1544,0
16-SP-NO-W,Nonnendammallee West,West,16-SP-NO,52.538414,13.246996,2023-11-22,16-SP-NO-W,26304,16731,7814,1758,1
17-SZ-BRE-O,Breitenbachplatz Ost,East,17-SZ-BRE,52.4667601926523,13.3091647731717,2016-05-01,17-SK-BRE-O,122735,77355,37983,7214,183
17-SZ-BRE-W,Breitenbachplatz West,West,17-SZ-BRE,52.467215435872,13.3083600753752,2016-05-01,17-SK-BRE-W,122735,77438,37978,7124,195
18-TS-YOR-O,Yorckstraße Ost,East,18-TS-YOR,52.4919379605113,13.373472267973568,2015-04-01,18-TS-YOR-O,122735,91649,28483,2324,279
18-TS-YOR-W,Yorkstraße West,West,18-TS-YOR,52.49228,13.37321,2015-04-01,18-TS-YOR-W,122735,90715,28472,3291,257
19-TS-MON,Monumentenstraße,Not specified,19-TS-MON,52.488117,13.369785,2015-05-01,19-TS-MON,122735,90202,31447,884,202
20-TS-MAR-N,Mariendorfer Damm Nord,North,20-TS-MAR,52.438535,13.387953,2016-05-01,20-TS-MAR-N,122735,73441,37976,11299,19
20-TS-MAR-S,Mariendorfer Damm Süd,South,20-TS-MAR,52.4380724598425,13.3878117799758,2016-05-01,20-TS-MAR-S,122735,81876,38460,2379,20
21-NK-MAY,Maybachufer,Not specified,21-NK-MAY,52.492998,13.429682,2016-05-01,21-NK-MAY,122735,84479,37976,138,142
23-TK-KAI,Kaisersteg,Not specified,23-TK-KAI,52.45727,13.5187,2016-05-01,23-TK-KAI,122735,82871,38186,1487,191
24-MH-ALB,Alberichstraße,Not specified,24-MH-ALB,52.492534,13.558493,2015-07-01,24-MH-ALB,122735,79740,30654,12336,5
26-LI-PUP,Paul-und-Paula-Uferweg,Not specified,26-LI-PUP,52.5003234023861,13.4743022918701,2015-06-01,26-LI-PUP,122735,91005,30635,865,230
27-RE-MAR,Markstraße,Not specified,27-RE-MAR,52.55819,13.3649435,2015-05-01,27-RE-MAR,122735,92829,29192,504,210
